Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2015-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,11.0,11.0
2015-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-29,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2015-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-03,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-09-05,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2015-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-09-07,108.0,131.0,152.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
2015-09-08,0.0,0.0,0.0,0.0,0.0,132.0,155.0,155.0,155.0,155.0,155.0
2015-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
2015-09-11,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,12.0
2015-09-12,6.0,11.0,15.0,19.0,32.0,41.0,50.0,60.0,60.0,60.0,64.0
2015-09-13,117.0,137.0,143.0,147.0,147.0,147.0,228.0,230.0,258.0,271.0,392.0
2015-09-14,16.0,26.0,36.0,43.0,46.0,47.0,56.0,56.0,83.0,233.0,334.0
2015-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
2015-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-18,3.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2015-09-19,57.0,72.0,78.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-09-20,2.0,2.0,2.0,2.0,2.0,62.0,92.0,100.0,100.0,100.0,100.0
2015-09-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
2015-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-28,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
2015-09-29,62.0,110.0,160.0,182.0,214.0,240.0,252.0,283.0,289.0,289.0,289.0
2015-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2015-10-09,8.0,14.0,20.0,25.0,44.0,57.0,57.0,57.0,57.0,61.0,61.0
2015-10-10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,61.0
2015-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-13,5.0,8.0,11.0,13.0,13.0,13.0,13.0,22.0,22.0,22.0,22.0
2015-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,22.0,22.0
2015-10-15,20.0,38.0,55.0,71.0,96.0,104.0,104.0,104.0,108.0,125.0,125.0
2015-10-16,11.0,20.0,20.0,20.0,20.0,20.0,30.0,104.0,104.0,108.0,125.0
2015-10-17,12.0,23.0,32.0,41.0,69.0,74.0,74.0,96.0,106.0,132.0,135.0
2015-10-18,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,103.0
2015-10-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
2015-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-22,7.0,12.0,16.0,19.0,22.0,28.0,28.0,28.0,30.0,30.0,30.0
2015-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2015-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-25,29.0,51.0,69.0,84.0,114.0,129.0,149.0,158.0,158.0,158.0,158.0
2015-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
2015-10-27,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2015-10-28,23.0,43.0,61.0,79.0,127.0,156.0,226.0,271.0,273.0,276.0,276.0
2015-10-29,19.0,35.0,49.0,55.0,63.0,74.0,80.0,114.0,205.0,324.0,375.0
2015-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
2015-10-31,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016-05-01,24.0,29.0,33.0,38.0,58.0,68.0,72.0,78.0,83.0,83.0,83.0
2016-05-02,3.0,6.0,8.0,11.0,13.0,42.0,63.0,75.0,80.0,83.0,94.0
2016-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
2016-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-07,3.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0
2016-05-08,11.0,19.0,28.0,36.0,57.0,78.0,78.0,78.0,83.0,90.0,92.0
2016-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2016-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,10.0,18.0,28.0,34.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2016-05-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
2016-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,4.0,4.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2016-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,10.0,10.0
2016-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,6.0,9.0,12.0,13.0,21.0,32.0,35.0,39.0,42.0,42.0,42.0
2016-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,42.0
2016-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-05,31.0,56.0,70.0,92.0,139.0,143.0,165.0,252.0,283.0,283.0,283.0
2016-06-06,15.0,18.0,22.0,25.0,25.0,25.0,25.0,25.0,87.0,252.0,315.0
2016-06-07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0
2016-06-08,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0
2016-06-09,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,8.0
2016-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13,13.0,21.0,25.0,25.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
2016-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0
2016-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-18,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-22,18.0,33.0,44.0,58.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
2016-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
2016-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-27,13.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
2016-06-28,17.0,34.0,37.0,37.0,37.0,40.0,70.0,70.0,70.0,70.0,78.0
2016-06-29,5.0,8.0,10.0,10.0,10.0,37.0,37.0,70.0,70.0,70.0,80.0
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
2016-07-01,15.0,26.0,32.0,32.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2016-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,38.0,38.0
2016-07-03,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0
2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-09,17.0,33.0,45.0,54.0,64.0,72.0,95.0,95.0,116.0,159.0,159.0
2016-07-10,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,76.0,159.0
2016-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2016-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-14,41.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
2016-07-15,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,64.0,64.0
2016-07-16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2016-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2016-07-18,67.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,160.0,160.0
2016-07-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,128.0,160.0
2016-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-22,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2016-07-23,59.0,88.0,96.0,104.0,161.0,173.0,173.0,173.0,173.0,173.0,173.0
2016-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,173.0
2016-07-25,20.0,23.0,23.0,23.0,23.0,23.0,37.0,37.0,37.0,48.0,48.0
2016-07-26,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,37.0,37.0,48.0
2016-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-30,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-07-31,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-12,11.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2016-08-13,74.0,95.0,95.0,95.0,104.0,118.0,127.0,184.0,184.0,203.0,262.0
2016-08-14,31.0,61.0,75.0,85.0,127.0,151.0,208.0,272.0,326.0,399.0,463.0
2016-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0
2016-08-16,79.0,144.0,197.0,220.0,356.0,501.0,565.0,620.0,674.0,700.0,700.0
2016-08-17,6.0,6.0,16.0,43.0,56.0,76.0,195.0,534.0,671.0,709.0,711.0
2016-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-21,18.0,32.0,47.0,62.0,102.0,123.0,144.0,163.0,163.0,163.0,163.0
2016-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,163.0,163.0
2016-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-25,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
2016-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,60.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
2016-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-09-08,52.0,69.0,69.0,69.0,79.0,84.0,92.0,92.0,92.0,92.0,109.0
2016-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,79.0,92.0,107.0
2016-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-11,28.0,28.0,28.0,48.0,48.0,48.0,48.0,54.0,54.0,54.0,54.0
2016-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
2016-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
2016-09-18,7.0,7.0,7.0,7.0,9.0,13.0,15.0,17.0,17.0,21.0,21.0
2016-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-22,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016-09-23,4.0,7.0,10.0,12.0,14.0,14.0,14.0,18.0,18.0,25.0,25.0
2016-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2016-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-27,6.0,10.0,11.0,15.0,23.0,28.0,28.0,28.0,28.0,28.0,28.0
2016-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
2016-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-02,3.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2016-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0
2016-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-08,27.0,47.0,60.0,66.0,92.0,96.0,105.0,142.0,161.0,164.0,164.0
2016-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,164.0
2016-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,65.0
2016-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-10-16,23.0,41.0,49.0,58.0,71.0,73.0,91.0,104.0,104.0,121.0,121.0
2016-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,50.0,121.0
2016-10-18,11.0,16.0,16.0,19.0,31.0,31.0,31.0,31.0,31.0,31.0,50.0
2016-10-19,0.0,0.0,0.0,0.0,0.0,13.0,13.0,19.0,19.0,19.0,50.0
2016-10-20,14.0,27.0,38.0,49.0,90.0,120.0,150.0,181.0,190.0,199.0,199.0
2016-10-21,16.0,29.0,43.0,50.0,85.0,123.0,153.0,229.0,288.0,376.0,544.0
2016-10-22,16.0,24.0,35.0,43.0,69.0,83.0,92.0,119.0,127.0,189.0,354.0
2016-10-23,5.0,9.0,13.0,17.0,35.0,53.0,69.0,116.0,149.0,176.0,306.0
2016-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
